Wavelength (nm),Absorbance (AU),Std.Dev.
324,0.02130126953125,0.000283008376937735
326,0.02105712890625,0.000288709837775032
328,0.0208740234375,0.00030517578125
330,0.0211334228515625,0.000342558964853571
332,0.0216217041015625,0.000325838569703104
334,0.021942138671875,0.000364937156466718
336,0.0221710205078125,0.00030669786441409
338,0.0220947265625,0.000327264565880237
340,0.0223236083984375,0.000349289646675403
342,0.0220489501953125,0.000359796939775134
344,0.0217132568359375,0.000354582215534126
346,0.022369384765625,0.000363658913812652
348,0.0215301513671875,0.000342558964853571
350,0.0218048095703125,0.000298230290003846
352,0.022308349609375,0.000299787638921944
354,0.02276611328125,0.000328684375435456
356,0.0238037109375,0.000311966679386305
358,0.024871826171875,0.000322967689338939
360,0.0251922607421875,0.00030593776940557
362,0.0263214111328125,0.000253498042691592
364,0.0235595703125,0.00024698507776243
366,0.0251007080078125,0.000331505752294928
368,0.0273590087890625,0.000312712120543201
370,0.0272979736328125,0.000317881266113276
372,0.028564453125,0.00028382988338834
374,0.0300750732421875,0.000265169482375836
376,0.0301666259765625,0.000267790661236332
378,0.0317535400390625,0.000267790661236332
380,0.03228759765625,0.000248863318333436
382,0.032562255859375,0.000262522133393635
384,0.032073974609375,0.000245092443911881
386,0.03076171875,0.000265169482375836
388,0.0287933349609375,0.000255328377238182
390,0.0276641845703125,0.000256238641719767
392,0.025634765625,0.000291119141057418
394,0.0239410400390625,0.000252577901569318
396,0.0235595703125,0.000257145683995861
398,0.022308349609375,0.000242705897836103
400,0.02252197265625,0.000265169482375836
402,0.02301025390625,0.000312712120543201
404,0.0222930908203125,0.000281358168252346
406,0.021453857421875,0.000286280258778286
408,0.020751953125,0.000313455788943087
410,0.019378662109375,0.000337767694414957
412,0.016876220703125,0.000295878897547383
414,0.0154266357421875,0.000297448557886016
416,0.014190673828125,0.000308212430980288
418,0.01214599609375,0.000312712120543201
420,0.0105743408203125,0.00031641298451733
422,0.0088348388671875,0.000257145683995861
424,0.0084686279296875,0.000288709837775032
426,0.0096435546875,0.000326552346176646
428,0.008819580078125,0.000327264565880237
430,0.0077972412109375,0.000295090936368007
432,0.0089569091796875,0.000324406305320271
434,0.007781982421875,0.000311966679386305
436,0.007598876953125,0.000302108610126088
438,0.00677490234375,0.000298230290003846
440,0.0058135986328125,0.000307456080316313
442,0.0042877197265625,0.000283008376937735
444,0.003570556640625,0.000266046078096965
446,0.00341796875,0.000256238641719767
448,0.0036163330078125,0.000293508667933217
450,0.0037841796875,0.00028382988338834
452,0.0042877197265625,0.000300563287408328
454,0.0047149658203125,0.000289515166641392
456,0.0051422119140625,0.000283008376937735
458,0.004425048828125,0.000266046078096965
460,0.0054168701171875,0.000336386225662973
462,0.0065460205078125,0.000298230290003846
464,0.0054779052734375,0.000265169482375836
466,0.006378173828125,0.000297448557886016
468,0.0073394775390625,0.000292714326374067
470,0.01019287109375,0.00040715527539448
472,0.0102691650390625,0.000342558964853571
474,0.0108184814453125,0.000332907474201529
476,0.01165771484375,0.000335693359375
478,0.01239013671875,0.000370005970855168
480,0.0139007568359375,0.000355893059988116
482,0.0194854736328125,0.00034795392611668
484,0.028472900390625,0.000355893059988116
486,0.025909423828125,0.00023040266220919
488,0.031097412109375,0.000382384157902273
490,0.0229644775390625,0.000376245971860899
492,0.0214080810546875,0.000389622355188101
494,0.0229339599609375,0.000439071489561101
496,0.0250244140625,0.000436945222878307
498,0.0266876220703125,0.000429420388167428
500,0.0296478271484375,0.000445389389627882
502,0.03228759765625,0.000463827031053792
504,0.037261962890625,0.000495851953407957
506,0.0426788330078125,0.000503308792189656
508,0.0494537353515625,0.000547618360746044
510,0.0569610595703125,0.000585428652748135
512,0.0633392333984375,0.000561058847377021
514,0.0712738037109375,0.000660196156395994
516,0.0781402587890625,0.000640142119244477
518,0.0846710205078125,0.000695907852233361
520,0.0898895263671875,0.000754963188284484
522,0.094329833984375,0.000791106042286116
524,0.09710693359375,0.000841311569341444
526,0.0995635986328125,0.000762328857226367
528,0.100921630859375,0.000825668289701458
530,0.104141235351562,0.000776850711752799
532,0.107528686523437,0.000779244710376203
534,0.11260986328125,0.00068102763685368
536,0.121368408203125,0.000693226116430698
538,0.13330078125,0.000709164431068253
540,0.147964477539062,0.000665814948403059
542,0.16717529296875,0.000617933860208636
544,0.190261840820312,0.00068102763685368
546,0.217575073242187,0.000734960606615741
548,0.244033813476562,0.0006103515625
550,0.27410888671875,0.000732421875
552,0.303268432617187,0.000752491943721799
554,0.32867431640625,0.000679658735697024
556,0.348464965820312,0.000665814948403059
558,0.363540649414062,0.000821144045841901
560,0.370147705078125,0.000734960606615741
562,0.369277954101562,0.000690533966002488
564,0.3623046875,0.000734960606615741
566,0.354049682617187,0.000614912160632626
568,0.340087890625,0.00040715527539448
570,0.327621459960937,0.000302878314838855
572,0.317169189453125,0.000263407539392579
574,0.307342529296875,0.00024698507776243
576,0.3037109375,0.00026074230179802
578,0.307479858398437,0.00023589515432343
580,0.319717407226562,0.000219535744780551
582,0.339309692382812,0.000229896837971792
584,0.37457275390625,0.000266046078096965
586,0.4136962890625,0.000292714326374067
588,0.461898803710938,0.000266046078096965
590,0.516921997070313,0.000320797669092234
592,0.581512451171875,0.000338456314282514
594,0.641036987304688,0.000299787638921944
596,0.698745727539063,0.000420655784670722
598,0.755706787109375,0.000383600008849382
600,0.799667358398438,0.000435878199984305
602,0.828262329101563,0.000333606126542289
604,0.832656860351563,0.000492081161395175
606,0.812698364257813,0.00087175639996861
608,0.784530639648438,0.000754963188284484
610,0.74053955078125,0.000495851953407957
612,0.679443359375,0.000519695628842969
614,0.609359741210938,0.000452648833440897
616,0.535751342773438,0.00046782561391467
618,0.4556884765625,0.000499594285392606
620,0.385040283203125,0.000501454978184661
622,0.31146240234375,0.000451618914396629
624,0.256820678710937,0.000481559260194687
626,0.207107543945312,0.000588601731017636
628,0.162918090820312,0.000554379337298125
630,0.131195068359375,0.000644491945860073
632,0.104095458984375,0.000839094670707246
634,0.0806121826171875,0.000884483443981289
636,0.060302734375,0.00080279214098913
638,0.048004150390625,0.000841311569341444
640,0.0391387939453125,0.0009765625
642,0.031951904296875,0.00134831067104337
644,0.0242919921875,0.00131190095582304
646,0.0189208984375,0.00130620938470659
648,0.014190673828125,0.000966978730331718
650,0.012115478515625,0.00106067792950334
652,0.0126800537109375,0.000800468569861084
654,0.01861572265625,0.00106767917996435
656,-0.096099853515625,0.000865322685471059
658,0.0167388916015625,0.000786382978926094
660,0.002960205078125,0.000745029029280622
662,0.001953125,0.00111545818374616
664,-0.0000762939453125,0.0013427734375
666,0.0003509521484375,0.00132039231279199
668,0.0009613037109375,0.00134831067104337
670,-0.000335693359375,0.0011287379155827
672,-0.000640869140625,0.000850121354808601
674,-0.0018463134765625,0.00120843444050435
676,-0.0024261474609375,0.00109183006713857
678,-0.0017242431640625,0.00102858273598344
680,-0.0018157958984375,0.000865322685471059
682,-0.0015869140625,0.000951443925056146
684,-0.0013580322265625,0.000695907852233361
686,-0.002716064453125,0.000556056737008319
688,-0.0026702880859375,0.000776850711752799
690,-0.001922607421875,0.000776850711752799
692,-0.0022735595703125,0.000628395394347351
694,-0.00213623046875,0.000757426369994559
696,-0.002166748046875,0.000717000740018965
698,-0.0040740966796875,0.00063135256547782
700,-0.0043487548828125,0.000867472558810541
702,-0.002166748046875,0.000847927489590442
704,-0.0012664794921875,0.000923629513575535
706,0.0014495849609375,0.000709164431068253
708,-0.0022125244140625,0.000658783970487149
710,-0.0035552978515625,0.000951443925056146
712,-0.003143310546875,0.000861006834696404
714,-0.0019683837890625,0.000602673878727158
716,-0.001617431640625,0.000693226116430698
718,0.0000457763671875,0.000764768315804545
720,-0.0014495849609375,0.000695907852233361
722,-0.0023345947265625,0.000795801074853839
724,-0.0081939697265625,0.000821144045841901
726,-0.0075531005859375,0.000556056737008319
