Wavelength (nm),Absorbance (AU),Std.Dev.
660,0.014984130859375,0.000740011941710336
662,0.016082763671875,0.00105008853357454
664,0.015960693359375,0.00107809580887791
666,0.0179443359375,0.00128319067636894
668,0.0166168212890625,0.0011676712933172
670,0.0169219970703125,0.00123284972392115
672,0.017913818359375,0.000776850711752799
674,0.0177764892578125,0.00107116264494533
676,0.0179901123046875,0.00114512103511314
678,0.016265869140625,0.0009094033462983
680,0.0175018310546875,0.000745029029280622
682,0.0183868408203125,0.000899103995523452
684,0.0174407958984375,0.000658783970487149
686,0.0198974609375,0.000599575277843887
688,0.019500732421875,0.000695907852233361
690,0.01983642578125,0.000668606637579549
692,0.01995849609375,0.00061187553881114
694,0.022003173828125,0.000747524945917718
696,0.0209503173828125,0.000742524722936794
698,0.02191162109375,0.000590181872736014
700,0.0221405029296875,0.000791106042286116
702,0.0217437744140625,0.000856669241187634
704,0.0235748291015625,0.000876019292871541
706,0.023529052734375,0.000776850711752799
708,0.024810791015625,0.000579030333282784
710,0.0210113525390625,0.000861006834696404
712,0.02301025390625,0.000791106042286116
714,0.02252197265625,0.000629875715348825
716,0.023284912109375,0.000767200017698763
718,0.0217132568359375,0.000698579293350806
720,0.02105712890625,0.000654529131760474
722,0.0204010009765625,0.000781631376639752
724,0.0138397216796875,0.000717000740018965
726,0.016937255859375,0.000469812143504048
728,0.0150146484375,0.000579030333282784
730,0.0150146484375,0.000561058847377021
732,0.0177459716796875,0.000473760214119263
734,0.014984130859375,0.000452648833440897
736,0.013580322265625,0.000390815688319876
738,0.014404296875,0.000580636523145766
740,0.01617431640625,0.000408297368171986
742,0.0154266357421875,0.000660196156395994
744,0.0132598876953125,0.000686475944775512
746,0.01312255859375,0.000585428652748135
748,0.0140228271484375,0.000499594285392606
750,0.0139617919921875,0.00047179030864686
752,0.013214111328125,0.000495851953407957
754,0.01275634765625,0.000406009969960024
756,0.0103607177734375,0.000390815688319876
758,0.0135345458984375,0.000273809180373022
760,0.0119476318359375,0.000276348423405073
762,0.0128631591796875,0.000362376162324155
764,0.0119781494140625,0.000298230290003846
766,0.0126800537109375,0.000417321604345012
768,0.009979248046875,0.000387224656385789
770,0.0136871337890625,0.000320797669092234
772,0.014068603515625,0.000394374022928469
774,0.0132598876953125,0.000547618360746044
776,0.01300048828125,0.000594897115772031
778,0.0121307373046875,0.000660196156395994
780,0.0121612548828125,0.000487326642537577
782,0.0147705078125,0.00044643368036889
784,0.01446533203125,0.000537317409108246
786,0.013519287109375,0.000602673878727158
788,0.0121002197265625,0.000537317409108246
790,0.013885498046875,0.00054931640625
792,0.0117340087890625,0.000667212253084578
794,0.0133819580078125,0.000486370161453529
796,0.0148773193359375,0.000519695628842969
